(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),(Level 6),Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Aquatic Setting,Estuarine System,Estuarine Open Water Subsystem,Estuarine Open Water Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is generally continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,2.2.1,https://w3id.org/CMECS/CMECS_00000308,CMECS_00000308,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Tidal Riverine Coastal Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Estuarine Tidal Riverine Coastal Subsystem includes the most upstream region of the estuary, in those areas between MHHW to the 4 meter depth contour below MLLW in waters that (a) can be regularly influenced by tides and (b) where salinity is below 0.5 during the period of annual low flow. The areas with this salinity may extend upriver to the head of tide, which is identified as the point where the mean tidal range becomes less than 0.2 feet (0.06 meters) (FGDC 2001). The Tidal Riverine Coastal Subsystem includes upstream areas that are influenced by ocean tides, but do not experience significant salinity. The hydraulic gradient is low and water stage and velocity fluctuate under tidal influence. Water is always present and is confined within a channel, and is usually flowing. The Tidal Riverine Coastal Subsystem is a critical part of the ecology and habitat of the estuary. This area is the site of significant ecological activity and a number of estuarine and coastal species depend on Tidal Riverine Coastal areas for breeding habitats, nursery habitats, and migratory pathways (e.g., striped bass, wading birds, and anadromous fishes). The Tidal Riverine Coastal Subsystem also supports unique hydrological features, for example the Estuarine Turbidity Maximum, tidal bores and Coriolis deflections.","FGDC (Federal Geographic Data Committee). 2001. FGDC-STD-001.2-2001. Metadata Profile for Shoreline Data. Reston, VA: Federal Geographic Data Committee.",1.1.2,A,2.3,https://w3id.org/CMECS/CMECS_00000315,CMECS_00000315,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Tidal Riverine Coastal Subsystem,Estuarine Tidal Riverine Coastal Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is generally continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,2.3.1,https://w3id.org/CMECS/CMECS_00000316,CMECS_00000316,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Tidal Riverine Coastal Subsystem,Estuarine Tidal Riverine Coastal Intertidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,"The substrate in this zone is regularly and periodically exposed and flooded by tides. This zone extends from MLLW to the extent of tidal inundation, i.e., the extreme high water of spring tides. The Coastal Intertidal is exposed regularly to the air by tidal action.",,1.1.2,A,2.3.2,https://w3id.org/CMECS/CMECS_00000312,CMECS_00000312,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Tidal Riverine Open Water Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Estuarine Tidal Riverine Open Water Subsystem includes tidal freshwater areas with a salinity of <0.5 and a depth of greater than 4 meters at MLLW. The Estuarine Tidal Riverine Open Water Subsystem is the most upstream portion of the estuary and subject to river and watershed influences, including high nutrient and sediment loads and low salinity. Similar to the Estuarine Open Water Subsystem, physical impact from waves and surface currents is reduced interaction at depth. This zone may be the site of the upper limit of the salt wedge and of a turbidity maximum zone, important as feeding and aggregation sites for plankton and benthic species. This zone is also potentially subject to high organic loading and formation of hypoxic waters. Primary production is often low, due to high turbidity and deep, dimly lighted water columns, especially in the river channel. For this reason, the Tidal Riverine Open Water Subsystem may be heterotrophic with net negative metabolic rates.",,1.1.2,A,2.4,https://w3id.org/CMECS/CMECS_00000321,CMECS_00000321,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Tidal Riverine Open Water Subsystem,Estuarine Tidal Riverine Open Water Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is generally continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,2.4.1,https://w3id.org/CMECS/CMECS_00000322,CMECS_00000322,Original Unit,,,
Aquatic Setting,Marine System,,,,,CMECS Setting: Aquatic Setting System,"The Marine System is defined by salinity, which is typically about 35, although salinity can measure as low as 0.5 during the period of average annual low flow near fresh outflows. This system has little or no significant dilution from fresh water except near the mouths of estuaries and rivers. The Marine System includes all non-estuarine waters from the coastline to the central oceans. The landward boundary of this system is either the linear boundary across the mouth of an estuary or the limit of the supratidal splash zone affected by breaking waves. Seaward, the Marine System includes all ocean waters. The Marine System is typified by waves, currents and coastal water regimes determined by oceanic tides. Coastal indentations and bays that do not receive appreciable and regular freshwater inflow are part of the Marine System. Areas where river plumes discharge directly into marine waters without geomorphological enclosure are also part of the Marine System. In such areas, (e.g., Mississippi River plume, Chesapeake Bay plume), low salinity water and fresh plumes may discharge from the seaward boundary of the estuary, extending far into the Marine System beyond the enclosed part of the estuary. These freshwater features are considered to be Hydroforms within the Marine System (see Section 5). The Marine System has three subsystems (which are defined by depth): Nearshore, Offshore, and Oceanic.",,1.1.2,A,3,https://w3id.org/CMECS/CMECS_00000520,CMECS_00000520,Original Unit,,,
Aquatic Setting,Marine System,Marine Nearshore Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Marine Nearshore Subsystem extends from the landward limit of the Marine System to the 30 meter depth contour. The 30 meter depth contour was selected as a useful cutoff between shallower nearshore and deeper offshore waters. It is intended to represent an ecologically significant depth to which water column and benthic processes are strongly coupled in the Nearshore Subsystem. Surface currents and waves impinge the bottom at the storm wave base (Keen and Holland 2010) and vertical circulation generally distributes nutrients and sediments throughout the water column. The photic zone extends through the entire water column except in extreme cases (Kleypas, McManus and Menez 1999). The presence of nutrients and light support the growth of vegetation on the bottom including seagrass and macroalgal beds and 30 meters generally represents the depth to which most living coral is found.","Keen, T. R. and K. T. Holland. 2010. The Coastal Dynamics of Heterogeneous Sedimentary Environments: Numerical Modeling of Nearshore Hydrodynamics and Sediment Transport. Report. NRL/MR/7320--10-9242 Naval Research Laboratory. Ocean Dynamics and Prediction Branch. Oceanography Division. Stennis Space Center, MS 39529-5004. 140 pp.|Kleypas, J., J. W. McManus, and L. A. B. Menez. 1999. “Environmental Limits to Coral Reef Development: Where Do We Draw the Line?” American Zoologist, 39:146159.",1.1.2,A,3.1,https://w3id.org/CMECS/CMECS_00000498,CMECS_00000498,Original Unit,,,
Aquatic Setting,Marine System,Marine Nearshore Subsystem,Marine Nearshore Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is generally continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,3.1.1,https://w3id.org/CMECS/CMECS_00000499,CMECS_00000499,Original Unit,,,
Aquatic Setting,Marine System,Marine Nearshore Subsystem,Marine Nearshore Intertidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is regularly and periodically exposed and flooded by tidal action. This zone extends from MLLW to MHHW.,,1.1.2,A,3.1.2,https://w3id.org/CMECS/CMECS_00000495,CMECS_00000495,Original Unit,,,
Aquatic Setting,Marine System,Marine Nearshore Subsystem,Marine Nearshore Supratidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,"This zone includes areas above MHHW that are affected by wave splash and overwash but does not include areas affected only by wind-driven spray. This zone is subjected to periodic high wave energy, exposure to air, and often to variable salinity.",,1.1.2,A,3.1.3,https://w3id.org/CMECS/CMECS_00000500,CMECS_00000500,Original Unit,,,
Aquatic Setting,Marine System,Marine Offshore Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Marine Offshore Subsystem extends from the 30 meter depth contour to the continental shelf break, as defined by the maximum slope discontinuity with a rapid change in gradient of 3° or greater at the outer edge of the continental shelf. This shelf break boundary generally occurs between 100 - 200 meters depth. In the case of steep-sided, oceanic islands, where a continental shelf is not present, the offshore boundary of the Offshore Subsystem is defined at a bottom slope discontinuity occurring between 100 - 200 meters, or at 200 meters if no such discontinuity exists. The waters and benthos of the Offshore Subsystem are less coupled to each other and typically less influenced by terrigenous processes than in the Nearshore Subsystem. Distance from shore can vary greatly, depending on shelf morphology, and waters at the 30 meter isobath can be quite distant from the shore or may lie relatively close to land. The Offshore Subsystem may be strongly influenced by open-ocean biogeochemistry and physical processes. Often distinct water layers at the surface and bottom may be present. Because Offshore Subsystem waters are less influenced by coastal inputs, they generally are less turbid than those of the Nearshore Subsystem. Light penetration in the Offshore Subsystem can extend to significant depths and often reach the ocean bottom.",,1.1.2,A,3.2,https://w3id.org/CMECS/CMECS_00000514,CMECS_00000514,Original Unit,,,
Aquatic Setting,Marine System,Marine Offshore Subsystem,Marine Offshore Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is subtidal and continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,3.2.1,https://w3id.org/CMECS/CMECS_00000515,CMECS_00000515,Original Unit,,,
Aquatic Setting,Marine System,Marine Oceanic Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Marine Oceanic Subsystem represents the open ocean, extending from the continental shelf break to the deep ocean. Oceanic waters typically have salinity levels of greater than or equal to 36. Water depths typically range from 100 -200 meters at their shallowest at the shelf break to over 11,000 meters at the deepest point in the ocean.
The great depth of the Oceanic Subsystem is responsible for many of its characteristics. The oceanic water column tends to be more stable physicochemically; undergoing changes in temperature and salinity relatively slowly. Greater depth also diminishes the influence of the sea bottom on the overlying water column. Surface and bottom processes generally are poorly coupled and separated by great distances and thermocline layers. The waters of the Oceanic Subsystem receive little direct terrigenous input; the inputs from land typically occur indirectly, after passage through the substantial coastal water masses or atmospheric deposition.
Conditions in the Oceanic Subsystem are a function of the properties of the water column. For example, light penetration diminishes with depth (as sea water absorbs component wavelengths); thus, the quality and intensity of ambient light changes with depth. Little surface light penetrates below the photic zone (~200 meters). At greater depths, light is limited to that produced locally by bioluminescence. Water pressure also increases directly with depth because of the weight of the overlying water column, and water temperatures diminish with depth.",,1.1.2,A,3.3,https://w3id.org/CMECS/CMECS_00000603,CMECS_00000603,Original Unit,,,
Aquatic Setting,Marine System,Marine Oceanic Subsystem,Marine Oceanic Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is subtidal and continuously submerged in this zone.,,1.1.2,A,3.3.1,https://w3id.org/CMECS/CMECS_00000510,CMECS_00000510,Original Unit,,,
Biogeographic Setting,,,,,,CMECS Setting: Biogeographic Setting,"The CMECS Biogeographic Setting is adopted from the Marine Ecoregions of the World (MEOW) technique (Spalding et al, 2007) for characterizing bioregions of marine coastal and shelf environments. MEOW provides global coverage with a nested, three-tiered system of realms, provinces, and ecoregions (moving from larger-scale to smaller-scale units). CMECS proposes to use the MEOW realms, provinces, and ecoregions for describing biogeographic elements of the Estuarine System and the Marine Nearshore and Offshore Subsystems.","Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,None,https://w3id.org/CMECS/CMECS_00000104,CMECS_00000104,Original Unit,,,
Biogeographic Setting,Arctic Realm,,,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1,https://w3id.org/CMECS/CMECS_00000038,CMECS_00000038,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,,,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1,https://w3id.org/CMECS/CMECS_00000037,CMECS_00000037,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Beaufort Sea Continental Coast and Shelf Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.1,https://w3id.org/CMECS/CMECS_00000093,CMECS_00000093,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Chukchi Sea Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.2,https://w3id.org/CMECS/CMECS_00000154,CMECS_00000154,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Eastern Bering Sea Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.3,https://w3id.org/CMECS/CMECS_00000269,CMECS_00000269,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,,,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2,https://w3id.org/CMECS/CMECS_00000819,CMECS_00000819,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,,,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1,https://w3id.org/CMECS/CMECS_00000179,CMECS_00000179,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Scotian Shelf Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.1,https://w3id.org/CMECS/CMECS_00000714,CMECS_00000714,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Gulf of Maine/Bay of Fundy Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.2,https://w3id.org/CMECS/CMECS_00001470,CMECS_00001470,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Virginian Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.3,https://w3id.org/CMECS/CMECS_00000886,CMECS_00000886,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,,,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2,https://w3id.org/CMECS/CMECS_00000888,CMECS_00000888,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,Carolinian Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2.1,https://w3id.org/CMECS/CMECS_00000135,CMECS_00000135,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,Northern Gulf of Mexico Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2.2,https://w3id.org/CMECS/CMECS_00000599,CMECS_00000599,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,,,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3,https://w3id.org/CMECS/CMECS_00000820,CMECS_00000820,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,Cold Temperate Northeast Pacific Province,,,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3.1,https://w3id.org/CMECS/CMECS_00000178,CMECS_00000178,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,Cold Temperate Northeast Pacific Province,Aleutian Islands Ecoregion,,,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3.1.1,https://w3id.org/CMECS/CMECS_00000006,CMECS_00000006,Original Unit,,,
